Node,Heat_Sources_Count,Heat_Sinks_Count,Total_Heat_Gained_W,Total_Heat_Lost_W,Net_Conduction_W,Dominant_Source,Dominant_Sink
Batt_BF_Top,2,0,0.0,0.0,0.0,plateT,None
Batt_BF_Bot,2,0,0.0,0.0,0.0,plateM,None
Batt_BM_Top,2,0,0.0,0.0,0.0,plateT,None
Batt_BM_Bot,2,0,0.0,0.0,0.0,plateM,None
Batt_BR_Top,2,0,0.0,0.0,0.0,plateT,None
Batt_BR_Bot,2,0,0.0,0.0,0.0,plateM,None
ESC,1,0,489.97499999999997,0.0,489.97499999999997,ESC_Mount,None
ESC_Mount,1,1,0.0,489.97499999999997,-489.97499999999997,BH_1,ESC
BH_1,5,1,0.0,0.0,0.0,plateT,ESC_Mount
BH_2,5,0,0.0,0.0,0.0,plateT,None
BH_3,5,0,0.0,0.0,0.0,plateT,None
BH_4,5,0,0.0,0.0,0.0,plateT,None
plateT,0,7,0.0,0.0,0.0,None,Batt_BF_Top
plateM,0,10,0.0,0.0,0.0,None,Batt_BF_Top
plateB,0,7,0.0,0.0,0.0,None,Batt_BF_Bot
Top_Shell_Int,1,4,0.0,0.0,0.0,Top_Shell_Ext,BH_1
Top_Shell_Ext,0,1,0.0,0.0,0.0,None,Top_Shell_Int
Bot_Shell_Int,1,4,0.0,0.0,0.0,Bot_Shell_Ext,BH_1
Bot_Shell_Ext,0,1,0.0,0.0,0.0,None,Bot_Shell_Int
Internal_air,0,0,0.0,0.0,0.0,None,None
