Node,Target,Heat_Flow_W,Direction,Magnitude_W
Top_Shell_Ext,Ambient,-80.07675024694827,FROM,80.07675024694827
Bot_Shell_Ext,Ambient,-80.07675024694827,FROM,80.07675024694827
ESC,Internal_Air,-4.556283373629058,FROM,4.556283373629058
Top_Shell_Int,Internal_Air,2.1121879966403023,TO,2.1121879966403023
Bot_Shell_Int,Internal_Air,2.1121879966403023,TO,2.1121879966403023
plateT,Internal_Air,1.8663601204005695,TO,1.8663601204005695
plateB,Internal_Air,1.8663601204005695,TO,1.8663601204005695
Batt_BM_Top,Internal_Air,1.2942703121665438,TO,1.2942703121665438
Batt_BF_Bot,Internal_Air,1.2942703121665438,TO,1.2942703121665438
Batt_BF_Top,Internal_Air,1.2942703121665438,TO,1.2942703121665438
Batt_BM_Bot,Internal_Air,1.2942703121665438,TO,1.2942703121665438
Batt_BR_Bot,Internal_Air,1.2942703121665438,TO,1.2942703121665438
Batt_BR_Top,Internal_Air,1.2942703121665438,TO,1.2942703121665438
plateM,Internal_Air,1.01366412133644,TO,1.01366412133644
BH_1,Internal_Air,0.47434415711392386,TO,0.47434415711392386
BH_2,Internal_Air,0.47434415711392386,TO,0.47434415711392386
BH_3,Internal_Air,0.47434415711392386,TO,0.47434415711392386
BH_4,Internal_Air,0.47434415711392386,TO,0.47434415711392386
ESC_Mount,Internal_Air,0.08120016738000002,TO,0.08120016738000002
