Node,outgoing_connections,incoming_connections,total_connections,total_outgoing_heat_W,total_incoming_heat_W,net_heat_W
Batt_BF_Top,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
Batt_BF_Bot,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
Batt_BM_Top,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
Batt_BM_Bot,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
Batt_BR_Top,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
Batt_BR_Bot,1,1,2,5.5760343832383965,0.5755268196767299,-5.0005075635616665
ESC,0,8,8,0.0,529.2160283836673,529.2160283836673
ESC_Mount,1,1,2,489.97499999999997,0.808304590653588,-489.1666954093464
BH_1,0,2,2,0.0,0.011232000000000002,0.011232000000000002
BH_2,0,2,2,0.0,0.011232000000000002,0.011232000000000002
BH_3,0,2,2,0.0,0.011232000000000002,0.011232000000000002
BH_4,0,2,2,0.0,0.011232000000000002,0.011232000000000002
plateT,0,1,1,0.0,3.134147519710679,3.134147519710679
plateM,0,0,0,0.0,0.0,0.0
plateB,0,1,1,0.0,3.134147519710679,3.134147519710679
Top_Shell_Int,9,1,10,10.668014062977756,0.6504,-10.017614062977756
Top_Shell_Ext,1,0,1,0.6504,0.0,-0.6504
Bot_Shell_Int,9,1,10,5.691496569394456,0.6504,-5.041096569394456
Bot_Shell_Ext,1,0,1,0.6504,0.0,-0.6504
Internal_air,0,0,0,0.0,0.0,0.0
