From_Node,To_Node,Heat_Flow_W,Direction,Magnitude_W
Top_Shell_Int,ESC,5.72019611,TO,5.72019611
ESC,Top_Shell_Int,-5.72019611,FROM,5.72019611
Batt_BM_Top,ESC,5.576034383,TO,5.576034383
Batt_BM_Bot,ESC,5.576034383,TO,5.576034383
Batt_BF_Top,ESC,5.576034383,TO,5.576034383
Batt_BF_Bot,ESC,5.576034383,TO,5.576034383
Batt_BR_Bot,ESC,5.576034383,TO,5.576034383
Batt_BR_Top,ESC,5.576034383,TO,5.576034383
ESC,Batt_BF_Top,-5.576034383,FROM,5.576034383
ESC,Batt_BF_Bot,-5.576034383,FROM,5.576034383
ESC,Batt_BM_Bot,-5.576034383,FROM,5.576034383
ESC,Batt_BM_Top,-5.576034383,FROM,5.576034383
ESC,Batt_BR_Bot,-5.576034383,FROM,5.576034383
ESC,Batt_BR_Top,-5.576034383,FROM,5.576034383
