Node,Radiation_Sources_Count,Radiation_Sinks_Count,Total_Heat_Gained_W,Total_Heat_Lost_W,Net_Radiation_W,Dominant_Source,Dominant_Sink
Batt_BF_Top,2,1,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Top_Shell_Int,ESC
Batt_BF_Bot,2,1,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Bot_Shell_Int,ESC
Batt_BM_Top,2,2,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Top_Shell_Int,ESC
Batt_BM_Bot,2,2,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Bot_Shell_Int,ESC
Batt_BR_Top,1,2,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Top_Shell_Int,ESC
Batt_BR_Bot,1,2,0.5755268196767299,5.5760343832383965,-5.0005075635616665,Bot_Shell_Int,ESC
ESC,7,0,39.24102838366726,0.0,39.24102838366726,Top_Shell_Int,None
ESC_Mount,1,0,0.808304590653588,0.0,0.808304590653588,Bot_Shell_Int,None
BH_1,0,0,0.0,0.0,0.0,None,None
BH_2,0,0,0.0,0.0,0.0,None,None
BH_3,0,0,0.0,0.0,0.0,None,None
BH_4,0,0,0.0,0.0,0.0,None,None
plateT,1,0,3.134147519710679,0.0,3.134147519710679,Top_Shell_Int,None
plateM,0,0,0.0,0.0,0.0,None,None
plateB,1,0,3.134147519710679,0.0,3.134147519710679,Bot_Shell_Int,None
Top_Shell_Int,1,5,0.0,10.645550062977756,-10.645550062977756,Bot_Shell_Int,ESC
Top_Shell_Ext,0,0,0.0,0.0,0.0,None,None
Bot_Shell_Int,0,6,0.0,5.6690325693944565,-5.6690325693944565,None,plateB
Bot_Shell_Ext,0,0,0.0,0.0,0.0,None,None
Internal_air,0,0,0.0,0.0,0.0,None,None
