Node,Generation_W,Conduction_W,Convection_W,Radiation_W,Net_Total_W,Temperature_K
Batt_BF_Top,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
Batt_BF_Bot,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
Batt_BM_Top,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
Batt_BM_Bot,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
Batt_BR_Top,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
Batt_BR_Bot,2.1,0.0,1.2942703121665438,5.5760343832383965,8.970304695404941,315.0
ESC,100.0,-489.97499999999997,-4.556283373629058,-39.0844293587931,-433.61571273242214,390.0
ESC_Mount,0.0,489.97499999999997,0.08120016738000002,0.0,490.05620016738,315.0
BH_1,0.0,0.0,0.47434415711392386,0.0,0.47434415711392386,315.0
BH_2,0.0,0.0,0.47434415711392386,0.0,0.47434415711392386,315.0
BH_3,0.0,0.0,0.47434415711392386,0.0,0.47434415711392386,315.0
BH_4,0.0,0.0,0.47434415711392386,0.0,0.47434415711392386,315.0
plateT,0.0,0.0,1.8663601204005695,0.0,1.8663601204005695,315.0
plateM,0.0,0.0,1.01366412133644,0.0,1.01366412133644,315.0
plateB,0.0,0.0,1.8663601204005695,0.0,1.8663601204005695,315.0
Top_Shell_Int,0.0,0.0,2.1121879966403023,5.628223059362728,7.740411056003031,315.0
Top_Shell_Ext,0.0,0.0,-186.50378810572624,0.0,-186.50378810572624,315.0
Bot_Shell_Int,0.0,0.0,2.1121879966403023,0.0,2.1121879966403023,315.0
Bot_Shell_Ext,0.0,0.0,-186.50378810572624,0.0,-186.50378810572624,315.0
Internal_air,0.0,0.0,0.0,0.0,0.0,318.0
